id	nev	nem	szuletett	elhunyt	identitas
2461	Held József	f	1930		amerikai-magyar
2462	Dercourt, Jean	f	1935	2019	francia
2463	Szigeti József	f	1921	2012	
2464	Trapeznyikov, Vagyim Alekszandrovics	f	1905	1994	orosz
2465	Petrányi Gyula	f	1912	2000	
2466	Vayer Lajos	f	1913	2001	
2467	Kovács Ilona	f	1960		
2468	Perényi Zsigmond	f	1783	1849	
2469	Petrányi Győző	f	1933		
2470	Engel, Ernst	f	1821	1896	német
2471	Wellmann Oszkár	f	1876	1943	
2472	Erdős Pál	f	1913	1996	
2473	Dirac, Paul	f	1902	1984	angol
2474	Vaskovics László Árpád	f	1936		németországi magyar
2475	Németh Ferenc	f	1933		hollandiai magyar
2476	Adriányi Gábor	f	1935		németországi magyar
2477	Kisfaludy Sándor	f	1772	1844	
2478	Torge, Wolfgang	f	1931		német
2479	Szemere Pál	f	1785	1861	
2480	Krompecher István	f	1905	1983	
2481	Lassú István	f	1797	1852	
2482	Bibó István, ifj.	f	1911	1979	
2483	Szabolcsi Anna	n	1953		amerikai-magyar
2484	Stipsicz András	f	1966		
2485	Kállay Ferenc	f	1790	1861	
2486	Mámalisz, Athanásziosz G.	f	1941		görög
2487	Csurgay Árpád	f	1936		
2488	Kannisto, Juha Artturi	f	1874	1943	finn
2489	Kováts Ervin	f	1927	2012	svájci magyar
2490	Csűrös Zoltán	f	1901	1979	
2491	Bitay Enikő	n	1960		romániai magyar
2492	Kerpel-Fronius Ödön	f	1906	1984	
2493	Andrássy Gyula, ifj.	f	1860	1929	
2494	Jánossy András	f	1944		
2495	Šorm, František	f	1913	1980	cseh
2496	Darányi Ignác	f	1849	1927	
2497	Thompson, John Michael Tutill	f	1937		brit
2498	Herman József	f	1924	2005	
2499	Csizmadia Imre Gyula	f	1932		kanadai magyar
2500	Teplán István	f	1932		
2501	Krenner József	f	1839	1920	
2502	Erdei Anna	n	1951		
2503	Dudich Endre	f	1895	1971	
2504	Hoch Róbert	f	1926	1993	
2505	Michel, Alain	f	1929	2017	francia
2506	Horváth Barna	f	1896	1973	
2507	Redlich, Oswald	f	1858	1944	osztrák
2508	Klupathy Jenő	f	1861	1931	
2509	Vladár Gábor	f	1881	1972	
2510	Péter Rózsa	n	1905	1977	
2511	Illyés Géza	f	1870	1951	
2512	Török János	f	1807	1874	
2513	Kozák Imre	f	1930	2016	
2514	Del Vecchio, Giorgio	f	1878	1970	olasz
2515	Nevanlinna, Rolf Herman	f	1895	1980	finn
2516	Simidzu Szakai	f	1915	2003	japán
2517	Nagy Lajos	f	1897	1946	
2518	Lukjanyenko, Pavel Pantyelejmonovics	f	1901	1973	orosz
2519	Janszky József	f	1943	2018	
2520	Belák Sándor, id.	f	1886	1947	
2521	Boér Elek, ifj.	f	1899	1954	
2522	Topinard, Paul	f	1830	1911	francia
2523	Bókay Árpád	f	1856	1919	
2524	Zwiedineck-Südenhorst, Otto von	f	1871	1957	osztrák
2525	Halász Ottó	f	1927	1986	
2526	Vánky Kálmán	f	1930		svédországi magyar
2527	Kelemen Lajos	f	1877	1963	romániai magyar
2528	Claparède, Alexandre	f	1858	1913	svájci
2529	Bresslau, Harry	f	1848	1926	német
2530	Westsik Vilmos	f	1883	1976	
2531	Fazekas Patrik	f	1945	2007	
2532	Papée, Fryderyk	f	1856	1940	lengyel
2533	Molnár Miklós	f	1918	2003	svájci magyar
2534	Zeldovics, Jakov Boriszovics	f	1914	1987	belorusz
2535	Bélyácz Iván	f	1949		
2536	Kozma Pál	f	1920	2004	
2537	Kossovich Károly	f	1803	1841	
2538	Tanárky Gedeon	f	1815	1887	
2539	Kerpely Kálmán	f	1864	1940	
2540	Kohlmey, Günther	f	1913	1999	német
2541	Damjanovich Sándor	f	1936	2017	
2542	Kákosy László	f	1932	2003	
2543	Klein György / Klein, Georg	f	1925	2016	svédországi magyar
2544	Jünemann, Reinhardt	f	1936		német
2545	Roberts, Derek Frank	f	1925	2016	angol
2546	Kecskés László	f	1953		
2547	Repiczky János	f	1817	1855	
2548	Buza László	f	1885	1969	
2549	Szőkefalvi Nagy Gyula	f	1887	1953	
2550	Beély Fidél József	f	1807	1863	
2551	Vörös Attila	f	1944		
2552	Beöthy Ákos	f	1838	1904	
2553	Szalay A. Sándor	f	1949		
2554	Szent-Iványi Tamás	f	1920	1991	
2555	Fried, Johannes	f	1942		német
2556	Pankratova, Anna Mihajlovna	n	1897	1957	orosz
2557	Hoffmann Pál	f	1830	1907	
2558	Ortvay Rudolf	f	1885	1945	
2559	Márton József	f	1771	1840	
2560	Sándorfy Kamill	f	1920	2006	franciaországi magyar
2561	Mátrai László	f	1909	1983	
2562	Szabadváry Ferenc	f	1923	2006	
2563	Haar Alfréd	f	1885	1933	
2564	Szénássy Sándor	f	1828	1872	
2565	Grimm, Jacob	f	1785	1863	német
2566	Andrássy Manó	f	1821	1891	
2567	Wosinsky Mór	f	1854	1907	
2568	Waldstein-Wartenberg János	f	1809	1876	
2569	Fragner, Bert	f	1941		osztrák
2570	Vizi E. Szilveszter	f	1936		
2571	Hornes, Moritz	f	1815	1868	osztrák
2572	Heszky László	f	1945		
2573	Rejtő Sándor	f	1853	1928	
2574	Pantó György	f	1936		
2575	Lányi János	f	1937		amerikai-magyar
2576	Murgulescu, Ilie G.	f	1902	1991	román
2577	Bitskey István	f	1941		
2578	Denis, Ernest	f	1849	1921	francia
2579	Váczy Péter	f	1904	1994	
2580	Sennyey Pál	f	1824	1888	
2581	Bruns, Ernst Heinrich	f	1848	1919	német
2582	Maszao Ito	f	1928	2018	japán
2583	Hegedűs László	f	1814	1884	
2584	Hermite, Charles	f	1811	1901	francia
2585	Molnár Aladár	f	1839	1881	
2586	Janhunen, Juha Antero	f	1952		finn
2587	Lu Yongxiang	f	1942		kínai
2588	Forgó László	f	1907	1985	
2589	Ikonómosz, Jeórjiosz	f	1883	1951	görög
2590	Morócz István	f	1816	1881	
2591	Leindler László	f	1935		
2592	Schmidt József	f	1868	1933	
2593	Szabó Zoltán	f	1965		amerikai-magyar
2594	Kumorovitz L. Bernát	f	1900	1992	
2595	Jankowski, Jerzy	f	1933		lengyel
2596	Harsányi János	f	1920	2000	amerikai-magyar
2597	Méhes Károly	f	1936	2007	
2598	Bollobás Béla	f	1943		amerikai-magyar
2599	Szalay Sándor	f	1909	1987	
2600	Szegedy-Maszák Mihály	f	1943	2016	
2601	Egyed Antal	f	1779	1862	
2602	Orosz László	f	1943		
2603	Liska József	f	1883	1967	
2604	Pasteiner Gyula	f	1846	1924	
2605	Krones, Franz	f	1835	1902	osztrák
2606	Müller, Georg	f	1917	2004	német
2607	Weltner Andor	f	1910	1978	
2608	Hofstede, Geert	f	1928		holland
2609	Kunz Jenő	f	1844	1926	
2610	Trócsányi Zoltán	f	1961		
2611	Poincaré, Henri	f	1854	1912	francia
2612	Tronchon, Henri	f	1877	1941	francia
2613	Pastor, Ludwig von	f	1854	1928	német
2614	Morhun, Volodimir Vasziljovics	f	1938		ukrán
2615	Michelberger Pál	f	1930	2014	
2616	Klein Gyula	f	1844	1915	
2617	Pattantyús-Ábrahám Géza	f	1885	1956	
2618	Kenessey Albert	f	1828	1879	
2619	Rédey Tivadar	f	1885	1953	
2620	Lévay József	f	1825	1918	
2621	Hadrovics László	f	1910	1997	
2622	Balogh Artúr	f	1866	1951	
2623	Szarvasy Imre	f	1872	1942	
2624	Hevesy György	f	1885	1966	magyar származású
2625	Hof, Paul van den	f	1957		holland
2626	Picard, Charles Émile	f	1856	1941	francia
2627	Torkos Sándor	f	1833	1865	
2628	Henszlmann Imre	f	1813	1888	
2629	Sólyom László	f	1942		
2630	Lévai András	f	1908	2003	
2631	Gerecs Árpád	f	1903	1982	
2632	Szenvey József	f	1800	1857	
2633	Nemes Dezső	f	1908	1985	
2634	Todaro, Agostino	f	1818	1892	olasz
2635	Laziczius Gyula	f	1896	1957	
2636	Fleischer, Heinrich Leberecht	f	1801	1888	német
2637	Asbóth Lajos	f	1803	1882	
2638	Fülöp Ferenc	f	1952		
2639	Kerpely Antal	f	1837	1907	
2640	Kulcsár Kálmán	f	1928	2010	
2641	Csetri Elek	f	1924	2010	romániai magyar
2642	Szegő Gábor	f	1895	1985	amerikai-magyar
2643	Ritschl, Friedrich Wilhelm	f	1806	1876	német
2644	Kenyeres Balázs	f	1865	1940	
2645	Sárváry Pál	f	1765	1846	
2646	Kopits György	f	1946		amerikai-magyar
2647	Kónya Kálmán / Konya, Calvin J.	f	1943		amerikai-magyar
2648	Böhm Károly	f	1846	1911	
2649	Miledi, Ricardo	f	1927	2017	mexikói
2650	Kamarás Katalin	n	1953		
2651	Bowman, William Cameron	f	1930	2013	angol
2652	Dessewffy Aurél	f	1808	1842	
2653	Frank, Gleb Mihajlovics	f	1904	1976	orosz
2654	Gyulai József	f	1933		
2655	Budai Ézsaiás	f	1766	1841	
2656	Rafn, Carl Christian	f	1795	1864	dán
2657	Beck József	f	1952		amerikai-magyar
2658	Darwin, Charles Robert	f	1809	1882	angol
2659	Kúnos György / Kunos, George	f	1942		amerikai-magyar
2660	Pasternák Alfréd	f	1930		amerikai-magyar
2661	Berthelot, Marcellin	f	1827	1907	francia
2662	’Sigmond Elek	f	1873	1939	
2663	Vendel Miklós	f	1896	1977	
2664	Hulkó Gábor	f	1947		szlovákiai magyar
2665	Iványi Béla	f	1878	1964	
2666	Volpe, Gioacchino	f	1876	1971	olasz
2667	Szkrjabin, Georgij Konsztantyinovics	f	1917	1998	orosz
2668	Balogh Pál	f	1794	1867	
2669	Szakály Ferenc	f	1942	1999	
2670	Jáky József	f	1893	1950	
2671	Smith, Anthony David	f	1938		angol
2672	Tompa Ferenc	f	1893	1945	
2673	Hültl Dezső	f	1870	1946	
2674	Széchenyi István	f	1791	1860	
2675	Bresztyenszky Adalbert	f	1786	1850	
2676	Érkövy Adolf	f	1818	1883	
2677	Dallos, Peter	f	1934		amerikai-magyar
2678	Nădășan, Ștefan	f	1901	1967	román
2679	Deáky Zsigmond	f	1795	1872	
2680	Degen Árpád	f	1866	1934	
2681	Mignet, François	f	1796	1884	francia
2682	Vrtiak, Otto Jaroslav	f	1924	2001	szlovák
2683	Janet, Paul	f	1823	1899	francia
2684	Gallai Tibor	f	1912	1992	
2685	Antus Sándor	f	1944		
2686	Csibi Vencel-József	f	1945	2019	romániai magyar
2687	Springer György / Springer, George S.	f	1933		amerikai-magyar
2689	Szarvas Gábor	f	1832	1895	
2690	Hollós László	f	1859	1940	
2691	Kriesch János	f	1834	1888	
2692	Homoródi Lajos	f	1911	1982	
2693	Rudics József	f	1792	1879	
2694	Bayer József	f	1946		
2695	Sipos Aladár	f	1927	2005	
2696	László Ervin	f	1932		amerikai-magyar
2697	Császár Elemér	f	1874	1940	
2698	Rompe, Robert	f	1905	1993	német
2699	Szabolcsi Bence	f	1899	1973	
2700	Lukács József	f	1922	1987	
2701	Preisz Hugó	f	1860	1940	
2702	Mendöl Tibor	f	1905	1966	
2703	Bartha Adorján	f	1923	1996	
2704	Rummel, Reiner	f	1945		német
2705	Gábos Zoltán	f	1924	2018	romániai magyar
2706	Fröhlich Pál	f	1889	1949	
2707	Plank Jenő	f	1890	1974	
2708	Sauer Ignác	f	1801	1863	
2709	Beöthy Leó	f	1839	1886	
2710	Gyires Béla	f	1909	2001	
2711	Kardos László	f	1898	1987	
2712	Fekete Lajos	f	1891	1969	
2713	Batthyány-Strattmann Fülöp	f	1781	1870	
2714	Vargha Gyula	f	1853	1929	
2715	Füredi Zoltán	f	1954		
2716	Mezei Ferenc	f	1942		
2717	Pázmándi Horváth Endre	f	1778	1839	
2718	Kotsis Iván	f	1889	1980	
2719	Reitter Ferenc	f	1813	1874	
2720	Wolfram Ervin	f	1923	1985	
2721	Jurányi Lajos	f	1837	1897	
2722	Julesz Béla	f	1928	2003	amerikai-magyar
2723	Dunai László	f	1958		
2724	Szinnyei József	f	1857	1943	
2725	Paul, Hermann	f	1846	1921	német
2726	Várallyay György	f	1935	2018	
2727	Czigány Tibor	f	1963		
2728	Horváth Csaba	f	1930	2004	amerikai-magyar
2729	Frivaldszky Imre	f	1799	1870	
2730	Klemm Antal	f	1883	1963	
2731	Tardos Gábor	f	1964		
2732	Halász Ignác	f	1855	1901	
2733	Besznyák István	f	1931	2017	
2734	Kanitz Ágoston	f	1843	1896	
2735	Baros Gyula	f	1876	1936	
2736	Renan, Ernest	f	1823	1892	francia
2737	Wagner, Horst	f	1939		osztrák
2738	Szent-Györgyi Albert	f	1893	1986	
2739	Nyomárkay István	f	1937		
2740	Ormos Pál	f	1951		
2741	Balásházy János	f	1797	1857	
2742	Schüler, Karl Gustav	f	1807	1855	német
2743	Csandra, Lokes	f	1927		indiai
2744	Szladits Károly	f	1871	1956	
2745	Venetianer Pál	f	1935		
2746	Hornig Károly	f	1840	1914	
2747	Batthyány-Strattmann László	f	1870	1931	
2748	Sinor Dénes / Sinor, Denis	f	1916	2011	amerikai-magyar
2749	Hofmann, August Wilhelm von	f	1818	1892	német
2750	Vajkay Károly	f	1825	1893	
2751	Szinnyei Ferenc	f	1875	1947	
2752	Borbély Samu	f	1907	1984	
2753	Varga János	f	1927	2008	
2754	Bernát István	f	1854	1942	
2755	Velihov, Jevgenyij Pavlovics	f	1935		orosz
2756	Painlevé, Paul	f	1863	1933	francia
2757	Koźmiński, Maciej	f	1937		lengyel
2758	Szidarovszky János	f	1881	1947	
2759	Thirring Gusztáv	f	1861	1941	
2760	Ádám Antal	f	1929		
2761	Zlinszky Imre	f	1834	1880	
2762	Candolle, Alphonse Pyrame de	f	1806	1893	svájci
2763	Nagy Ferenc	f	1927	2009	
2764	Baksay Sándor	f	1832	1915	
2765	Mészöly Gyula	f	1910	1974	
2766	Bartakovics Béla	f	1791	1873	
2767	Gáldi László	f	1910	1974	
2768	Helmert, Friedrich Robert	f	1843	1917	német
2769	Farkas Lajos	f	1841	1921	
2770	Hornok László	f	1947		
2771	Záborszky János / Zaborszky, John	f	1914	2008	amerikai-magyar
2772	Gábriel Asztrik László / Gabriel, Astrik L.	f	1907	2005	amerikai-magyar
2773	Jolesz A. Ferenc	f	1946	2014	amerikai-magyar
2774	Vas Károly	f	1919	1981	
2775	Berczik Árpád	f	1929		
2776	Baritz György	f	1779	1840	
2777	Lévai Péter	f	1962		
2778	Kőváry László	f	1809	1907	
2779	Gábor Dénes	f	1900	1979	nagy-britanniai magyar
2780	Illés József	f	1871	1944	
2781	Mészáros Lázár	f	1796	1858	
2782	Gorove István	f	1819	1881	
2783	Perrot, Jean	f	1925	2011	francia
2784	Csányi Vilmos	f	1935		
2785	Wiegner, Georg	f	1883	1936	német
2786	Tóth Zoltán	f	1888	1958	
2787	Szepesy Ignác	f	1780	1838	
2788	Marczibányi Antal	f	1793	1872	
2789	Gergely János / Gergely, John	f	1919	2013	amerikai-magyar
2790	Mészáros Ernő	f	1935		
2791	Lehr Albert	f	1844	1924	
2792	Fest Sándor	f	1883	1944	
2793	Szentpétery Imre	f	1878	1950	
2794	Lőrincz Lajos	f	1935	2010	
2795	Nilsson, Jan S.	f	1932	2010	svéd
2796	Schulhof Lipót	f	1847	1921	
2797	Petrovics Elek	f	1873	1945	
2798	Babics Antal	f	1902	1992	
2799	Szergijev, Pjotr Grigorjevics	f	1893	1973	orosz
2800	Pekár Imre	f	1838	1923	
2801	Schally, Andrew	f	1926		amerikai-lengyel
2802	Gombocz Zoltán	f	1877	1935	
2803	Hajnal István	f	1892	1956	
2804	Kovács István	f	1913	1996	
2805	Tóth Lőrinc	f	1814	1903	
2806	Bérczy Károly	f	1821	1867	
2807	Šišić, Ferdo	f	1869	1940	horvát
2808	Knobil, Ernst	f	1926	2000	amerikai-német
2809	Steindorff, Georg	f	1861	1951	német
2810	Áldásy Antal	f	1869	1932	
2811	Bedő Albert	f	1839	1918	
2812	Okladnyikov, Alekszej Pavlovics	f	1908	1981	orosz
2813	Réau, Louis	f	1881	1961	francia
2814	Ubrizsy Gábor	f	1919	1973	
2815	Murata Norio	f	1940		japán
2816	Handley, Eric Walter	f	1926	2013	angol
2817	Des Cloizeaux, Alfred	f	1817	1897	francia
2818	Rubbia, Carlo	f	1934		olasz
2819	Polányi János / Polanyi, John Charles	f	1929		kanadai magyar
2820	Logrieco, Antonio	f	1958		olasz
2821	Finkey József	f	1889	1941	
2822	Ajtai Miklós	f	1946		amerikai-magyar
2823	Vasoli, Cesare	f	1924	2013	olasz
2824	Hohmann Judit	n	1957		
2825	Bittner, Ludwig	f	1877	1945	osztrák
2826	Földi Zoltán	f	1895	1987	
2827	Mátyás Csaba	f	1943		
2828	Wigner Jenő / Wigner, Eugene	f	1902	1995	amerikai-magyar
2829	Kodály Zoltán	f	1882	1967	
2830	Fekete Gábor	f	1930	2016	
2831	Valéry, Paul	f	1871	1945	francia
2832	Farkas József	f	1933	2014	
2833	Mahler Ede	f	1857	1945	
2834	Kiss Árpád	f	1889	1968	
2835	Tarnai Tibor	f	1943		
2836	Holub József	f	1885	1962	
2837	Fabó András	f	1810	1874	
2838	Wilke, Friedrich Ludwig	f	1931		német
2839	Világhy Miklós	f	1916	1980	
2840	Bartal Antal	f	1829	1909	
2841	Keviczky László	f	1945		
2842	Ritter, Carl	f	1779	1859	német
2843	Horger Antal	f	1872	1946	
2844	Király István	f	1921	1989	
2845	Soós Lajos	f	1879	1972	
2846	Konek Sándor	f	1819	1882	
2847	Pyber László	f	1960		
2848	Kacskovics Lajos	f	1806	1891	
2849	Mattyasovszky Miklós	f	1875	1939	
2850	Geleji Sándor	f	1898	1967	
2851	Liebig, Justus von	f	1803	1873	német
2852	Szántay Csaba	f	1928	2016	
2853	Hamza Gábor	f	1949		
2854	Paasonen, Heikki	f	1865	1919	finn
2855	Freund, Hans-Joachim	f	1951		német
2856	Kuncz Ignác	f	1841	1903	
2857	Jones, Henry Arthur	f	1851	1929	angol
2858	Pintér Jenő	f	1881	1940	
2859	Kelemen Krizosztom	f	1884	1950	
2860	Györke József	f	1906	1946	
2861	Zimányi József	f	1931	2006	
2862	Johan Béla	f	1889	1983	
2863	Jedlik Ányos	f	1800	1895	
2864	Savigny, Friedrich Carl	f	1779	1861	német
2865	Szabó Barna	f	1935		amerikai-magyar
2866	Jávorka Sándor	f	1883	1961	
2867	Demény Lajos	f	1926	2010	romániai magyar
2868	Pop, Emil	f	1897	1974	román
2869	Lee Yuantseh	f	1936		tajvani
2870	Tőtössy Béla	f	1854	1923	
2871	Bright, Richard	f	1789	1858	angol
2872	Frenzel, Burkhard	f	1928	2010	német
2873	Hornyik János	f	1812	1885	
2874	Kiss Ferenc	f	1791	1859	
2875	Csatskó Imre	f	1804	1874	
2876	Simonovits Miklós	f	1943		
2877	Jósika Miklós	f	1794	1865	
2878	Kozma Andor	f	1861	1933	
2879	Freund Mihály	f	1889	1984	
2880	Zahlbruckner Sándor	f	1860	1938	
2881	Cassin, John	f	1813	1869	amerikai
2882	Pólya Jakab	f	1844	1897	
2883	Orłowski, Tadeusz	f	1917	2008	lengyel
2884	Kemény József	f	1795	1855	
2885	Ráth Zoltán	f	1863	1902	
2886	Pertz, Georg Heinrich	f	1795	1876	német
2887	Gárdonyi Géza	f	1863	1922	
2888	Gróh Gyula	f	1886	1952	
2889	Oszipov, Jurij Szergejevics	f	1936		orosz
2890	Tamás Lajos	f	1904	1984	
2891	Németh Lajos	f	1929	1991	
2892	Kroó Norbert	f	1934		
2893	Balló Mátyás	f	1844	1930	
2894	Kogel, Karl-Heinz	f	1956		német
2895	Pessina, Enrico	f	1828	1916	olasz
2896	Korányi Frigyes	f	1828	1913	
2897	Bjerrum, Jannik	f	1909	1992	dán
2898	Eckhardt Sándor	f	1927	2016	
2899	Pringsheim, Nathanael	f	1823	1894	német
2900	Tamás Gábor	f	1969		
2901	Vischer, Friedrich Theodor	f	1807	1887	német
2902	Károlyi Árpád	f	1853	1940	
2903	Szekeres György	f	1911	2005	ausztráliai magyar
2904	Szabó Sándor	f	1944		amerikai-magyar
2905	Thaisz András	f	1789	1840	
2906	Dósa Elek	f	1803	1867	
2907	Giesebrecht, Wilhelm von	f	1814	1889	német
2908	Császka György	f	1826	1904	
2909	Müller Miklós	f	1930		amerikai-magyar
2910	Kosáry Domokos	f	1913	2007	
2911	Bíró Vencel	f	1885	1962	
2912	Moravcsik Gyula	f	1892	1972	
2913	Benyovszky Zsigmond	f	1799	1873	
2914	Schubert Gabriella	n	1943		németországi magyar
2915	Kotlán Sándor	f	1887	1967	
2916	Kemény Gábor	f	1830	1888	
2917	Izsvák Zsuzsanna	n	1961		németországi magyar
2918	Hollósi Miklós	f	1941	2016	
2919	Finta József	f	1935		
2920	Balla György	f	1953		
2921	Francisci, Pietro de	f	1883	1971	olasz
2922	Perczel András	f	1959		
2923	Orlóci László	f	1932		kanadai magyar
2924	Guttmann András	f	1954		ausztriai magyar
2925	Balázs Nándor László	f	1926	2003	amerikai-magyar
2926	Schuller Alajos	f	1845	1920	
2927	Hatvany Lajos	f	1880	1961	
2928	Kuratowski, Kazimierz	f	1896	1980	lengyel
2929	Sőtér István	f	1913	1988	
2930	Horváth Géza	f	1847	1937	
2931	Milne-Edwards, Henri	f	1800	1885	francia
2932	Holmes, Philip J.	f	1945		amerikai
2933	Szemere Bertalan	f	1812	1869	
2934	Budó Ágoston	f	1914	1969	
2935	Salamon Ferenc	f	1825	1892	
2936	Ehrle, Franz	f	1845	1934	német
2937	Infeld, Leopold	f	1898	1968	lengyel
2938	Dékány István	f	1886	1965	
2939	Herczegh Géza	f	1928	2010	
2940	Falk Miksa	f	1828	1908	
2941	Szüllő Géza	f	1873	1957	szlovákiai magyar
2942	Csáky Albin	f	1841	1912	
2943	Smolka, Stanisław	f	1854	1924	lengyel
2944	Kronecker, Leopold	f	1823	1891	német
2945	Csernoch János	f	1852	1927	
2946	Csépe Valéria	n	1951		
2947	Ferge Zsuzsa	n	1931		
2948	Czibere Tibor	f	1930		
2949	Nozières, Philippe	f	1932		francia
2950	Szentpétery Zsigmond	f	1880	1952	
2951	Tormay Béla	f	1839	1906	
2952	Kornis Gyula	f	1885	1958	
2953	Jones-Loyd, Samuel	f	1796	1883	angol
2954	Hambardzumjan, Viktor	f	1908	1996	örmény
2955	Schuster János	f	1777	1838	
2956	Vinogradov, Ivan Matvejevics	f	1891	1983	orosz
2957	Heinrich Gusztáv	f	1845	1922	
2958	Lénárd Fülöp	f	1862	1947	
2959	Szathmáry Eörs	f	1959		
2960	Károlyi Sándor	f	1831	1906	
2961	Săvulescu, Traian	f	1889	1963	román
2962	Austerlitz, Robert	f	1923	1994	amerikai
2963	Alföldi András	f	1895	1981	
2964	Fröhlich Izidor	f	1852	1931	
2965	Barna Balázs	f	1948		
2966	Szentes Tamás	f	1933		
2967	Bornemisza Elemér	f	1930	2010	Costa Rica-i magyar
2968	Lukić, Radomir	f	1914	1999	szerb
2969	Hertz, Gustav Ludwig	f	1887	1975	német
2970	Hermann István	f	1925	1986	
2971	Ilminszkij, Nyikolaj Ivanovics	f	1822	1891	orosz
2972	Liard, Louis	f	1846	1917	francia
2973	Varadhan, Srínivasza	f	1940		indiai
2974	Sommerfeld, Arnold	f	1868	1951	német
2975	Némethy Géza	f	1865	1937	
2976	Csernai László Pál	f	1949		norvégiai magyar
2977	Marx György	f	1927	2002	
2978	Barta István	f	1910	1978	
2979	Fabinyi Tihamér	f	1890	1953	
2980	Bognár József	f	1917	1996	
2981	Hartke, Werner	f	1907	1993	német
2982	Pauncz Rezső	f	1920		izraeli magyar
2983	Fogarasi János	f	1801	1878	
2984	Fröhlich Róbert	f	1844	1894	
2985	Medzihradszky Kálmán	f	1928	2019	
2986	Lissák Kálmán	f	1908	1982	
2987	Jakó Zsigmond Pál	f	1916	2008	romániai magyar
2988	Zdziechowski, Marian	f	1861	1938	lengyel
2989	Tomcsányi Pál	f	1924	2018	
2990	Kőrös Endre	f	1927	2002	
2991	Csaba László	f	1954		
2992	Andrássy Dénes	f	1835	1913	
2993	Posch Jenő	f	1859	1923	
2994	Borhy László	f	1963		
2995	Flores Pedauye, Ricardo	f	1947		spanyol
2996	Trinchera, Francesco	f	1810	1874	olasz
2997	Hauer, Franz von	f	1822	1899	osztrák
2998	Duka Tivadar	f	1825	1908	
2999	Sztrokay Antal	f	1780	1850	
3000	Baker, Alan	f	1939	2018	angol
3001	Bubics Zsigmond	f	1821	1907	
3002	Prohászka Lajos	f	1897	1963	
3003	Zimányi Károly	f	1862	1941	
3004	Pierantoni, Augusto	f	1840	1911	olasz
3005	Mailáth György, ifj.	f	1818	1883	
3006	Völgyesi Lajos	f	1947		
3007	Hajnóczi Gyula	f	1920	1996	
3008	Mezey Éva	n	1951		amerikai-magyar
3009	Vajda Imre	f	1900	1969	
3010	Csoma József	f	1848	1917	
3011	Polinszky Károly	f	1922	1998	
3012	Daróczy Zoltán	f	1938		
3013	Győrffy István	f	1880	1959	
3014	Zsilinszky Mihály	f	1838	1925	
3015	Kazinczy Gábor	f	1818	1864	
3016	Sipos Gábor	f	1951		romániai magyar
3017	Matlekovits Sándor	f	1842	1925	
3018	Daszkalov, Hriszto	f	1903	1983	bolgár
3019	Fuchs László	f	1924		amerikai-magyar
3020	Vida Gábor	f	1935		
3021	Rybach László	f	1935		svájci magyar
3022	Márta Ferenc	f	1929	2010	
3023	Bognár Géza	f	1909	1987	
3024	Reviczky Ádám	f	1786	1862	
3025	Larsen, Jens Peter	f	1902	1988	dán
3026	Széchenyi Bertalan	f	1866	1943	
3027	Ascoli, Graziadio Isaia	f	1829	1907	olasz
3028	Szvorényi József	f	1816	1892	
3029	Hausen, Harald zur	f	1936		német
3030	Bleyer Jakab	f	1874	1933	
3031	Zichy János	f	1868	1944	
3032	Csizmadia Ernő	f	1924	1984	
3033	Bánóczi József	f	1849	1926	
3034	Kara György	f	1935		
3035	Majláth Béla	f	1831	1900	
3036	Voisine, Jacques	f	1914	2001	francia
3037	Habsburg–Lotaringiai József Károly főherceg	f	1833	1905	
3038	Szalay László	f	1813	1864	
3039	Borzsák István	f	1914	2007	
3040	Szigeti György	f	1905	1978	
3041	D’Argenio, Bruno	f	1935		olasz
3042	Lempert Károly	f	1924		
3043	Fülepp József	f	1786	1847	
3044	Joliot-Curie, Frédéric	f	1900	1958	francia
3045	Lonovics József	f	1793	1867	
3046	Becker, Philipp August	f	1862	1947	német
3047	Csonka Pál	f	1896	1987	
3048	Somogyi Péter	f	1950		
3049	Straub F. Brunó	f	1914	1996	
3050	Marosi Sándor	f	1929	2009	
3051	Hortobágyi N. Gabriel	f	1946		amerikai-magyar
3052	Haraszti Gyula	f	1858	1921	
3053	Sina Simon	f	1810	1867	
3054	Kuzsinszky Bálint	f	1864	1938	
3055	Andrássy Gyula, id.	f	1823	1890	
3056	Bezerédj Pál	f	1840	1918	
3057	Scitovszky János	f	1785	1866	
3058	Wertheimer Ede	f	1848	1930	
3059	Nyikolajcsuk, Vitalij Ivanovics	f	1951		ukrán
3060	Széchényi Emil	f	1865	1932	
3061	Bárdossy András	f	1954		németországi magyar
3062	Arató Endre	f	1921	1977	
3063	Koltay-Kastner Jenő	f	1892	1985	
3064	Horváth József	f	1936		
3065	Petrovszkij, Borisz Vasziljevics	f	1908	2004	orosz
3066	Genthon István	f	1903	1969	
3067	Sztirikovics, Mihail Adolfovics	f	1902	1995	orosz
3068	Szászy István	f	1899	1976	
3069	Szilasi Móric	f	1854	1905	
3070	Concha Győző	f	1846	1933	
3071	Flegler, Alexander	f	1803	1892	német
3072	Háy László	f	1891	1975	
3073	Gaal József	f	1811	1866	
3074	Gelei József	f	1885	1952	
3075	Markó Károly, id.	f	1793	1860	
3076	Csorba József	f	1789	1858	
3077	Romsics Ignác	f	1951		
3078	Sabbadini, Remigio	f	1850	1934	olasz
3079	Andreánszky Gábor	f	1895	1967	
